drug,drug_class,config,auroc,accuracy,macro_f1,brier_score
ATV,PI,Full Model,0.7350461661983139,0.61,0.6010230179028133,0.2371573964620927
ATV,PI,No Rarity,0.7579285427539141,0.64,0.6376811594202898,0.22253388519346196
ATV,PI,No Attention,0.9618627057406663,0.89,0.8899889988998899,0.09363342845562858
ATV,PI,With Calibration,0.6503412284223203,0.57,0.562608076492727,0.24714787037410701
ATV,PI,Without Calibration,0.7350461661983139,0.61,0.6010230179028133,0.2371573964620927
DRV,PI,Full Model,0.7494505494505495,0.65,0.3939393939393939,0.22140681713717658
DRV,PI,No Rarity,0.778021978021978,0.65,0.3939393939393939,0.2177572370458989
DRV,PI,No Attention,0.8316483516483516,0.76,0.732620320855615,0.2055705821333076
DRV,PI,With Calibration,0.7092307692307691,0.76,0.728629579375848,0.18891837225262015
DRV,PI,Without Calibration,0.7494505494505495,0.65,0.3939393939393939,0.22140681713717658
FPV,PI,Full Model,0.774,0.68,0.6666666666666666,0.23452259967960032
FPV,PI,No Rarity,0.8220000000000001,0.66,0.6212121212121212,0.2305342159390965
FPV,PI,No Attention,0.9343999999999999,0.85,0.84998499849985,0.12672164318070972
FPV,PI,With Calibration,0.6906,0.62,0.6193910256410255,0.23764156194699937
FPV,PI,Without Calibration,0.774,0.68,0.6666666666666666,0.23452259967960032
IDV,PI,Full Model,0.8109090909090909,0.71,0.6745595331612613,0.23166243420215565
IDV,PI,No Rarity,0.8480808080808082,0.73,0.7149192271143491,0.23610204531392273
IDV,PI,No Attention,0.9608080808080808,0.91,0.9097744360902256,0.07210123923243517
IDV,PI,With Calibration,0.7234343434343434,0.64,0.6305418719211823,0.21712261568504782
IDV,PI,Without Calibration,0.8109090909090909,0.71,0.6745595331612613,0.23166243420215565
LPV,PI,Full Model,0.8020202020202021,0.66,0.5952380952380952,0.23358145960185742
LPV,PI,No Rarity,0.8799999999999999,0.55,0.3548387096774194,0.23027907882676996
LPV,PI,No Attention,0.9466666666666667,0.93,0.9291426257718393,0.06829481965793625
LPV,PI,With Calibration,0.7507070707070707,0.73,0.7297567811029927,0.1768927551859883
LPV,PI,Without Calibration,0.8020202020202021,0.66,0.5952380952380952,0.23358145960185742
NFV,PI,Full Model,0.7918719211822661,0.58,0.38811188811188807,0.23098419993855884
NFV,PI,No Rarity,0.6818555008210181,0.58,0.3670886075949367,0.23760600757173164
NFV,PI,No Attention,0.976190476190476,0.93,0.928796663615095,0.050707126719382704
NFV,PI,With Calibration,0.7309113300492611,0.64,0.6305418719211823,0.20411024490027685
NFV,PI,Without Calibration,0.7918719211822661,0.58,0.38811188811188807,0.23098419993855884
SQV,PI,Full Model,0.7724000000000001,0.7,0.6816638370118846,0.23258796997742756
