drug_class,drug,auc,n_samples,n_resistant,n_susceptible
PI,ATV,,1442,34466,-33024
PI,DRV,,948,10520,-9572
PI,FPV,,1971,27439,-25468
PI,IDV,,2017,33997,-31980
PI,LPV,,1739,48671,-46932
PI,NFV,,2050,49822,-47772
PI,SQV,,2002,40857,-38855
PI,TPV,,1172,7120,-5948
NRTI,ABC,,1601,6728,-5127
NRTI,AZT,,1700,36378,-34678
NRTI,D4T,,1693,3256,-1563
NRTI,DDI,,1696,2791,-1095
NRTI,3TC,,1689,82291,-80602
NRTI,TDF,,1416,1762,-346
NNRTI,EFV,,1963,48416,-46453
NNRTI,ETR,,914,6094,-5180
NNRTI,NVP,,1849,72533,-70684
NNRTI,RPV,,302,3288,-2986
