drug,drug_class,baseline_auroc,baseline_accuracy,baseline_macro_f1,baseline_sensitivity,baseline_specificity,baseline_brier_score,enhanced_auroc,enhanced_accuracy,enhanced_macro_f1,enhanced_sensitivity,enhanced_specificity,enhanced_brier_score,n_samples
ATV,PI,0.7579285427539141,0.64,0.6376811594202898,0.6792452830188679,0.5957446808510638,0.22253388519346196,0.7350461661983139,0.61,0.6010230179028133,0.7169811320754716,0.48936170212765956,0.2371573964620927,100
DRV,PI,0.778021978021978,0.65,0.3939393939393939,0.0,1.0,0.2177572370458989,0.7494505494505495,0.65,0.3939393939393939,0.0,1.0,0.22140681713717658,100
FPV,PI,0.8220000000000001,0.66,0.6212121212121212,0.34,0.98,0.2305342159390965,0.774,0.68,0.6666666666666666,0.48,0.88,0.23452259967960032,100
IDV,PI,0.8480808080808082,0.73,0.7149192271143491,0.8727272727272727,0.5555555555555556,0.23610204531392273,0.8109090909090909,0.71,0.6745595331612613,0.9454545454545454,0.4222222222222222,0.23166243420215565,100
LPV,PI,0.8799999999999999,0.55,0.3548387096774194,1.0,0.0,0.23027907882676996,0.8020202020202021,0.66,0.5952380952380952,0.9636363636363636,0.28888888888888886,0.23358145960185742,100
NFV,PI,0.6818555008210181,0.58,0.3670886075949367,1.0,0.0,0.23760600757173164,0.7918719211822661,0.58,0.38811188811188807,0.9827586206896551,0.023809523809523808,0.23098419993855884,100
SQV,PI,0.746,0.57,0.5413333333333333,0.32,0.82,0.23844076381418844,0.7724000000000001,0.7,0.6816638370118846,0.46,0.94,0.23258796997742756,100
TPV,PI,0.7049632352941178,0.68,0.40476190476190477,0.0,1.0,0.21208360392354877,0.6856617647058822,0.68,0.40476190476190477,0.0,1.0,0.21054028890563342,100
ABC,NRTI,0.6024409763905562,0.49,0.4357782940590773,0.1836734693877551,0.7843137254901961,0.24942558057808634,0.5720288115246098,0.55,0.529239460194581,0.3469387755102041,0.7450980392156863,0.24723942782413025,100
AZT,NRTI,0.8161904761904761,0.7,0.4117647058823529,0.0,1.0,0.20157816935530473,0.7066666666666667,0.7,0.4117647058823529,0.0,1.0,0.20439991337187136,100
D4T,NRTI,0.5629897528631705,0.79,0.441340782122905,0.0,1.0,0.170686941066228,0.5406871609403255,0.79,0.441340782122905,0.0,1.0,0.17684954264098768,100
DDI,NRTI,0.5026041666666666,0.84,0.45652173913043476,0.0,1.0,0.16145697426944416,0.5167410714285714,0.84,0.45652173913043476,0.0,1.0,0.15297957242965254,100
3TC,NRTI,0.6347916666666666,0.6,0.375,1.0,0.0,0.23910965813385976,0.5935416666666666,0.6,0.375,1.0,0.0,0.2380952035917624,100
TDF,NRTI,0.5137895812053115,0.89,0.4708994708994709,0.0,1.0,0.1190644626048204,0.6159346271705822,0.89,0.4708994708994709,0.0,1.0,0.13062547668620061,100
EFV,NNRTI,0.5869391025641025,0.52,0.34210526315789475,1.0,0.0,0.24951519393558716,0.6794871794871795,0.52,0.36000000000000004,0.9807692307692307,0.020833333333333332,0.24588525993036423,100
ETR,NNRTI,0.5241666666666667,0.6,0.375,0.0,1.0,0.2398537336371997,0.49666666666666665,0.6,0.375,0.0,1.0,0.24083128107428453,100
NVP,NNRTI,0.5604166666666667,0.6,0.375,1.0,0.0,0.23963246387123172,0.56875,0.6,0.375,1.0,0.0,0.2356335410127482,100
RPV,NNRTI,0.5466893039049237,0.62,0.38271604938271603,0.0,1.0,0.2356215886091361,0.5853140916808149,0.62,0.38271604938271603,0.0,1.0,0.2324998059029546,100
