drug,drug_class,raw_ece,calibrated_ece,raw_mce,calibrated_mce,raw_brier_score,calibrated_brier_score,best_calibration_method
ATV,PI,0.08025979220867159,0.2604026875207203,0.3774150609970093,0.8729387715862921,0.2371573964620927,0.24714787037410701,isotonic
DRV,PI,0.14137105464935304,0.10558093139987797,0.30505874256292975,1.0,0.22140681713717658,0.18891837225262015,isotonic
FPV,PI,0.15200768411159518,0.15850141036952073,0.26827979882558195,0.6758980785296574,0.23452259967960032,0.23764156194699937,isotonic
IDV,PI,0.17919553369283675,0.1330348143619912,0.3811086416244507,0.46666666666666684,0.23166243420215565,0.21712261568504782,isotonic
LPV,PI,0.12758349448442455,0.1260711888304672,0.399466335773468,0.8333333333333334,0.23358145960185742,0.1768927551859883,isotonic
NFV,PI,0.042020957171917006,0.1593281020646991,0.2961830496788025,0.875,0.23098419993855884,0.20411024490027685,isotonic
SQV,PI,0.1612075391411781,0.26294184682513316,0.38258602567341016,0.5777777777777778,0.23258796997742756,0.21968831296890767,isotonic
TPV,PI,0.03700810074806215,3.944087312518496e-05,0.5576255023479462,3.944087312518496e-05,0.21054028890563342,0.2173681383700889,platt
ABC,NRTI,0.04542869508266447,0.020283106632798156,0.6051463186740875,0.05593508319261442,0.24723942782413025,0.2500564656999638,platt
AZT,NRTI,0.0374714842438698,0.2043563516649821,0.175562379991307,0.7885464053399089,0.20439991337187136,0.2066977706406799,isotonic
D4T,NRTI,0.10593850135803225,0.020261873219501868,0.11593864576236623,0.050303907859809927,0.17684954264098768,0.16613417257060953,platt
DDI,NRTI,0.13323633879423144,2.370754716324308e-05,0.14683936105834114,2.370754716324308e-05,0.15297957242965254,0.13464174120339592,platt
3TC,NRTI,0.019798463582992573,0.07357975609032782,0.15104256226466262,0.452708492711332,0.2380952035917624,0.2339943511149549,isotonic
TDF,NRTI,0.1824093696475029,4.009286774098175e-05,0.19368487367263207,4.009286774098175e-05,0.13062547668620061,0.09810458220457989,platt
EFV,NNRTI,0.009005959630012522,4.449844137399683e-05,0.6073252558708191,4.449844137399683e-05,0.24588525993036423,0.24980627123791205,platt
ETR,NNRTI,0.022018409669399247,0.02802542134466612,0.022754650680642363,0.05389017402108265,0.24083128107428453,0.24000284595160065,platt
NVP,NNRTI,0.052701113224029573,0.015244166281900515,0.2789987872044245,0.02069445383289903,0.2356335410127482,0.23979097799382162,platt
RPV,NNRTI,0.03415038108825681,0.14739528436550942,0.06699790060520172,0.3,0.2324998059029546,0.22614670831118155,isotonic
