drug,drug_class,improved_test_auc,baseline_test_auc,delta_auc
ATV,PI,0.8975694444444445,0.8819444444444443,0.015625000000000222
DRV,PI,0.9186868686868687,0.9005050505050506,0.018181818181818077
FPV,PI,0.917063492063492,0.8892857142857142,0.02777777777777779
IDV,PI,0.9346064814814815,0.9259259259259259,0.00868055555555558
LPV,PI,0.9045138888888888,0.8790509259259259,0.02546296296296291
NFV,PI,0.9166666666666666,0.9155092592592592,0.0011574074074074403
SQV,PI,0.9470899470899471,0.9523809523809524,-0.005291005291005346
TPV,PI,0.8691919191919192,0.9090909090909092,-0.03989898989898999
ABC,NRTI,0.980952380952381,0.9571428571428572,0.023809523809523836
AZT,NRTI,0.9930555555555555,1.0,-0.006944444444444531
D4T,NRTI,0.9682539682539683,0.8849206349206349,0.08333333333333337
DDI,NRTI,0.9777777777777779,0.6888888888888888,0.2888888888888891
3TC,NRTI,0.9027777777777777,0.9351851851851851,-0.03240740740740744
TDF,NRTI,0.85,1.0,-0.15000000000000002
EFV,NNRTI,0.958994708994709,0.849867724867725,0.10912698412698396
ETR,NNRTI,0.8595238095238095,0.8166666666666668,0.042857142857142705
NVP,NNRTI,0.978835978835979,0.8412698412698413,0.13756613756613767
RPV,NNRTI,0.7893939393939394,0.8161616161616161,-0.026767676767676662
