drug,drug_class,method,brier_score
ATV,PI,temperature,0.08865052638710443
DRV,PI,temperature,0.10785570904523517
FPV,PI,temperature,0.1103964028380403
IDV,PI,temperature,0.0681031654897247
LPV,PI,temperature,0.09807982176891922
NFV,PI,isotonic,0.04985750898660753
SQV,PI,temperature,0.05791504280804111
TPV,PI,temperature,0.11663927459625821
ABC,NRTI,isotonic,0.007988526806972141
AZT,NRTI,temperature,2.3489303869342295e-06
D4T,NRTI,temperature,0.038453382467864505
DDI,NRTI,temperature,0.045524178024125346
3TC,NRTI,temperature,0.07373655518386682
TDF,NRTI,temperature,0.0533130741123909
EFV,NNRTI,temperature,0.13565585600030705
ETR,NNRTI,temperature,0.16665934666378782
NVP,NNRTI,temperature,0.08480342654747214
RPV,NNRTI,temperature,0.1619228000739766
