drug,drug_class,method,ece,mce,brier_score,auc
ATV,PI,raw,0.1434488169537369,0.7324714777538124,0.08399239853557416,0.9615384615384615
ATV,PI,platt,0.206155749840032,0.6567614043151002,0.11954026174879928,0.9407051282051282
ATV,PI,isotonic,0.14629147420093755,0.6449351542263622,0.10452572180549041,0.8974358974358975
ATV,PI,temperature,0.09056665730711096,0.7998426183249132,0.08865052638710443,0.9487179487179487
DRV,PI,raw,0.059411111806137756,0.309660229394518,0.10291333710142396,0.9227941176470589
DRV,PI,platt,0.13462047025910187,0.30120720598465056,0.1379258203899005,0.8805147058823529
DRV,PI,isotonic,0.17284903276679553,0.625,0.15541685287097579,0.8639705882352942
DRV,PI,temperature,0.0557246110482661,0.7552485367189994,0.10785570904523517,0.9007352941176471
FPV,PI,raw,0.06890832165992307,0.49496612345148994,0.10911126668338238,0.9301948051948051
FPV,PI,platt,0.19842229063056696,0.5265144340337875,0.1372890173131976,0.9155844155844156
FPV,PI,isotonic,0.10068389629676976,0.7501242737493234,0.12354523652563222,0.8896103896103895
FPV,PI,temperature,0.109558995478978,0.49512444830695035,0.1103964028380403,0.922077922077922
IDV,PI,raw,0.10800267141654606,0.7729984307854516,0.06987687513921963,0.9807692307692307
IDV,PI,platt,0.2198155965063793,0.6875157131065127,0.10338858123265249,0.9743589743589742
IDV,PI,isotonic,0.05008361727864157,0.09999999999999998,0.07559702690811015,0.9583333333333334
IDV,PI,temperature,0.07388878940330237,0.8750617199078391,0.0681031654897247,0.9775641025641026
LPV,PI,raw,0.08125111727505917,0.5911042752842695,0.09548616996417003,0.9471999999999999
LPV,PI,platt,0.19977781137830072,0.5670750276311637,0.12649379150490941,0.9391999999999999
LPV,PI,isotonic,0.14640485366415532,0.8333333333333334,0.11272221255852738,0.9136000000000001
LPV,PI,temperature,0.10184448055570244,0.6535781277821284,0.09807982176891922,0.9456
NFV,PI,raw,0.17632722112369048,0.641974210772272,0.07568387478984853,0.9791666666666666
NFV,PI,platt,0.27058917946413236,0.6364849254339127,0.10917645129565079,0.9791666666666666
NFV,PI,isotonic,0.0682765963284968,0.43527821397049293,0.04985750898660753,0.9487179487179487
NFV,PI,temperature,0.13039937535547366,0.7558164918909459,0.08148843609263214,0.9791666666666666
SQV,PI,raw,0.10458978301979141,0.5977131966537843,0.06301834917635989,0.9802955665024631
SQV,PI,platt,0.19556941990178425,0.3317608205858569,0.09878633613604915,0.9622331691297208
SQV,PI,isotonic,0.08979908256215062,0.48715673208252963,0.07889251291615135,0.9351395730706076
SQV,PI,temperature,0.056941650611484956,0.2839889871597494,0.05791504280804111,0.954022988505747
TPV,PI,raw,0.15180031123473664,0.7570580421835518,0.11427135294487589,0.9246323529411764
TPV,PI,platt,0.21085325976264635,0.47046362905249917,0.1495519223398887,0.9209558823529411
TPV,PI,isotonic,0.10386465254687179,0.3333333333333333,0.12459576687322638,0.8520220588235295
TPV,PI,temperature,0.14709398387676725,0.7567105557674432,0.11663927459625821,0.9227941176470589
ABC,NRTI,raw,0.12696536547022114,0.5211627692403993,0.02767137363708735,1.0
ABC,NRTI,platt,0.23597702513117244,0.5453666185935895,0.0627752553608911,1.0
ABC,NRTI,isotonic,0.017344620900868864,0.5417392886534926,0.007988526806972141,1.0
ABC,NRTI,temperature,0.025155791049895456,0.8447244388096735,0.016823640939804384,1.0
AZT,NRTI,raw,0.09498890945676824,0.44380919474776115,0.016106448071092936,1.0
AZT,NRTI,platt,0.20447292990299928,0.41613983742147276,0.05367612221875401,1.0
AZT,NRTI,isotonic,0.007211803125435184,0.32114426785673306,0.002093792377801756,1.0
AZT,NRTI,temperature,0.0002167467741193238,0.00030103679738796075,2.3489303869342295e-06,1.0
D4T,NRTI,raw,0.05567011364225381,0.5289836016326696,0.03790979113191945,0.9821428571428572
D4T,NRTI,platt,0.1596746918058326,0.7490692341936102,0.0842724425878197,0.9761904761904762
D4T,NRTI,isotonic,0.05618757889920785,0.17512358500940198,0.06536448200952082,0.90625
D4T,NRTI,temperature,0.049236937492317175,0.6086800834801829,0.038453382467864505,0.9404761904761905
DDI,NRTI,raw,0.021335679627905182,0.5179655200397636,0.043643979995788104,0.8913043478260869
DDI,NRTI,platt,0.06415392352877064,0.5472478173292556,0.07015818710133863,0.7065217391304348
DDI,NRTI,isotonic,0.05553803326722182,0.6643450130441932,0.05272575647175155,0.7826086956521738
DDI,NRTI,temperature,0.026277662432807273,0.5175861221615062,0.045524178024125346,0.8206521739130435
3TC,NRTI,raw,0.098323684424584,0.5826269088290043,0.07864443738595421,0.9591346153846154
3TC,NRTI,platt,0.209725358650688,0.5721357941550658,0.11475513698114266,0.9479166666666666
3TC,NRTI,isotonic,0.09293230180317806,0.5,0.09257660901630298,0.9158653846153847
3TC,NRTI,temperature,0.05990903410658617,0.6253689507965638,0.07373655518386682,0.9495192307692308
TDF,NRTI,raw,0.09069946599808679,0.7115502785039809,0.05129973980690741,0.9148936170212766
TDF,NRTI,platt,0.0003436097323251605,0.0003436097323251605,0.05593165456501796,0.9290780141843973
TDF,NRTI,isotonic,0.09383284269575969,0.75,0.09812325949955295,0.7588652482269502
TDF,NRTI,temperature,0.06846715847492786,0.7529905134702325,0.0533130741123909,0.9148936170212766
EFV,NNRTI,raw,0.09512133269957579,0.9064332320405131,0.1298711589531002,0.8904991948470209
EFV,NNRTI,platt,0.20888557745215017,0.7067797111766261,0.16538345989979852,0.8502415458937198
EFV,NNRTI,isotonic,0.13976437814451997,0.5,0.1491443613488035,0.8293075684380031
EFV,NNRTI,temperature,0.11443965454708276,0.23344564873709314,0.13565585600030705,0.8727858293075685
ETR,NNRTI,raw,0.11083607692367597,0.6216719262434405,0.16551946351312097,0.82
ETR,NNRTI,platt,0.10059104750655129,0.16876146712653883,0.19027617326025467,0.81
ETR,NNRTI,isotonic,0.20347498571933545,0.75,0.1997068896843816,0.7533333333333332
ETR,NNRTI,temperature,0.12906434821017115,0.6078542544488722,0.16665934666378782,0.815
NVP,NNRTI,raw,0.12319435973971164,0.25722934624862037,0.09402075458263058,0.9549114331723028
NVP,NNRTI,platt,0.20208643993378111,0.28310660076380445,0.13055033432117785,0.9565217391304348
NVP,NNRTI,isotonic,0.10593285116407665,0.33333333333333337,0.1221977839712438,0.8888888888888888
NVP,NNRTI,temperature,0.07628457978425889,0.5351467743582292,0.08480342654747214,0.9533011272141707
RPV,NNRTI,raw,0.14550105093938978,0.666279161532189,0.15050645976839128,0.8454861111111112
RPV,NNRTI,platt,0.1985502975449914,0.629521127102949,0.18434130850261524,0.8038194444444444
RPV,NNRTI,isotonic,0.21565770542909302,0.875,0.1825805481015726,0.7847222222222222
RPV,NNRTI,temperature,0.12339224665001902,0.3619407551743852,0.1619228000739766,0.796875
