drug,drug_class,n_samples,train_auc,val_auc,test_auc,auc_drop,test_auc_ci_low,test_auc_ci_high,baseline_test_auc,baseline_auc_drop,ensemble_auc,calibrated_auc,calibrated_ece,calibrated_brier,best_calibration_method,temporal_auc,temporal_auc_drop,shap_selected_test_auc
ATV,PI,50,1.0,0.8513752723311546,0.8975694444444445,-0.04619417211328991,0.7310789049919485,0.9488074220032842,0.8819444444444443,0.04936002178649257,0.9615384615384615,0.9487179487179487,0.09056665730711096,0.08865052638710443,temperature,0.92,-0.06862472766884542,0.9068287037037037
DRV,PI,50,1.0,0.7881542699724519,0.9186868686868687,-0.1305325987144168,0.8272058823529412,0.9824702886247878,0.9005050505050506,-0.07363955763165242,0.9227941176470589,0.9007352941176471,0.0557246110482661,0.10785570904523517,temperature,0.8125,-0.02434573002754814,0.9348484848484849
FPV,PI,50,1.0,0.8688016337139145,0.917063492063492,-0.048261858349577524,0.8377864782276547,0.9878539279145444,0.8892857142857142,-0.01666898728302224,0.9301948051948051,0.922077922077922,0.109558995478978,0.1103964028380403,temperature,0.9583333333333334,-0.08953169961941887,0.9082010582010582
IDV,PI,50,1.0,0.8763616557734205,0.9346064814814815,-0.058244825708061,0.8840398550724637,0.9935595503530287,0.9259259259259259,-0.032271241830065356,0.9807692307692307,0.9775641025641026,0.07388878940330237,0.0681031654897247,temperature,0.9047619047619048,-0.028400248988484256,0.9398148148148149
LPV,PI,50,1.0,0.8432814302191464,0.9045138888888888,-0.06123245866974247,0.8099742995169081,0.9813396115427613,0.8790509259259259,-0.011548042419582183,0.9471999999999999,0.9456,0.10184448055570244,0.09807982176891922,temperature,0.9166666666666667,-0.07338523644752037,0.8935185185185185
NFV,PI,50,1.0,0.8792892156862745,0.9166666666666666,-0.037377450980392135,0.8380824096880132,0.9808392948717949,0.9155092592592592,-0.00013616557734208445,0.9791666666666666,0.9487179487179487,0.0682765963284968,0.04985750898660753,isotonic,1.0,-0.1207107843137255,0.9212962962962963
SQV,PI,50,1.0,0.8580827067669173,0.9470899470899471,-0.08900724032302976,0.881924695812111,1.0,0.9523809523809524,-0.0017543859649123972,0.9802955665024631,0.954022988505747,0.056941650611484956,0.05791504280804111,temperature,1.0,-0.14191729323308266,0.9518518518518518
TPV,PI,50,1.0,0.8486884656845132,0.8691919191919192,-0.02050345350740601,0.7402552308802308,0.9561904761904761,0.9090909090909092,-0.07096658282429047,0.9246323529411764,0.9227941176470589,0.14709398387676725,0.11663927459625821,temperature,1.0,-0.15131153431548683,0.8904040404040404
ABC,NRTI,50,1.0,0.8553113553113553,0.980952380952381,-0.12564102564102575,0.9055067481538069,1.0,0.9571428571428572,-0.08800366300366302,1.0,1.0,0.017344620900868864,0.007988526806972141,isotonic,1.0,-0.14468864468864473,0.9904761904761905
AZT,NRTI,50,1.0,0.8836419753086421,0.9930555555555555,-0.10941358024691339,0.9342059576023392,1.0,1.0,-0.05370370370370381,1.0,1.0,0.0002167467741193238,2.3489303869342295e-06,temperature,1.0,-0.11635802469135792,0.9930555555555555
D4T,NRTI,50,1.0,0.8571428571428571,0.9682539682539683,-0.11111111111111116,0.8863636363636364,1.0,0.8849206349206349,-0.04047619047619044,0.9821428571428572,0.9404761904761905,0.049236937492317175,0.038453382467864505,temperature,0.8888888888888888,-0.031746031746031744,0.9841269841269842
DDI,NRTI,50,1.0,0.8219235364396654,0.9777777777777779,-0.15585424133811243,0.6950354609929081,1.0,0.6888888888888888,-0.06045400238948617,0.8913043478260869,0.8206521739130435,0.026277662432807273,0.045524178024125346,temperature,0.2222222222222222,0.5997013142174432,0.9777777777777779
3TC,NRTI,50,1.0,0.8468137254901961,0.9027777777777777,-0.05596405228758161,0.8143733333333334,0.9933333333333333,0.9351851851851851,-0.08629493464052285,0.9591346153846154,0.9495192307692308,0.05990903410658617,0.07373655518386682,temperature,0.76,0.08681372549019606,0.9074074074074074
TDF,NRTI,50,1.0,0.912130376344086,0.85,0.062130376344086025,0.653061224489796,0.9591836734693877,1.0,-0.01041666666666663,0.9148936170212766,0.9148936170212766,0.06846715847492786,0.0533130741123909,temperature,,,0.8291666666666666
EFV,NNRTI,50,1.0,0.705787037037037,0.958994708994709,-0.2532076719576719,0.804470486111111,0.9775641025641025,0.849867724867725,-0.11468253968253972,0.8904991948470209,0.8727858293075685,0.11443965454708276,0.13565585600030705,temperature,0.8400000000000001,-0.13421296296296303,0.9358465608465608
ETR,NNRTI,50,1.0,0.7968864468864468,0.8595238095238095,-0.06263736263736264,0.7282855461601216,0.9616915584415584,0.8166666666666668,-0.14239926739926756,0.82,0.815,0.12906434821017115,0.16665934666378782,temperature,0.9047619047619048,-0.10787545787545794,0.8436507936507937
NVP,NNRTI,50,1.0,0.7910493827160495,0.978835978835979,-0.18778659611992943,0.8573972018194528,0.9872080570409982,0.8412698412698413,-0.05315255731922397,0.9549114331723028,0.9533011272141707,0.07628457978425889,0.08480342654747214,temperature,1.0,-0.20895061728395048,0.978835978835979
RPV,NNRTI,50,1.0,0.6399110149110149,0.7893939393939394,-0.14948292448292455,0.604764093137255,0.9184461805555555,0.8161616161616161,-0.1743867243867243,0.8454861111111112,0.796875,0.12339224665001902,0.1619228000739766,temperature,0.8571428571428571,-0.21723184223184222,0.8090909090909091
