drug,drug_class,train_auc,val_auc,test_auc,auc_drop
ATV,PI,1.0,0.8513752723311546,0.8975694444444445,-0.04619417211328991
DRV,PI,1.0,0.7881542699724519,0.9186868686868687,-0.1305325987144168
FPV,PI,1.0,0.8688016337139145,0.917063492063492,-0.048261858349577524
IDV,PI,1.0,0.8763616557734205,0.9346064814814815,-0.058244825708061
LPV,PI,1.0,0.8432814302191464,0.9045138888888888,-0.06123245866974247
NFV,PI,1.0,0.8792892156862745,0.9166666666666666,-0.037377450980392135
SQV,PI,1.0,0.8580827067669173,0.9470899470899471,-0.08900724032302976
TPV,PI,1.0,0.8486884656845132,0.8691919191919192,-0.02050345350740601
ABC,NRTI,1.0,0.8553113553113553,0.980952380952381,-0.12564102564102575
AZT,NRTI,1.0,0.8836419753086421,0.9930555555555555,-0.10941358024691339
D4T,NRTI,1.0,0.8571428571428571,0.9682539682539683,-0.11111111111111116
DDI,NRTI,1.0,0.8219235364396654,0.9777777777777779,-0.15585424133811243
3TC,NRTI,1.0,0.8468137254901961,0.9027777777777777,-0.05596405228758161
TDF,NRTI,1.0,0.912130376344086,0.85,0.062130376344086025
EFV,NNRTI,1.0,0.705787037037037,0.958994708994709,-0.2532076719576719
ETR,NNRTI,1.0,0.7968864468864468,0.8595238095238095,-0.06263736263736264
NVP,NNRTI,1.0,0.7910493827160495,0.978835978835979,-0.18778659611992943
RPV,NNRTI,1.0,0.6399110149110149,0.7893939393939394,-0.14948292448292455
