drug,drug_class,pooling,auc,n_features
ATV,PI,mean,0.9310897435897436,1280
ATV,PI,max,0.9775641025641025,1280
ATV,PI,mean_max,0.9567307692307693,2560
ATV,PI,attention,0.6266025641025641,1280
ATV,PI,fusion,0.9807692307692308,3844
DRV,PI,mean,0.8860294117647058,1280
DRV,PI,max,0.9080882352941176,1280
DRV,PI,mean_max,0.9117647058823529,2560
DRV,PI,attention,0.4871323529411765,1280
DRV,PI,fusion,0.880514705882353,3844
FPV,PI,mean,0.8555194805194807,1280
FPV,PI,max,0.9431818181818182,1280
FPV,PI,mean_max,0.9074675324675325,2560
FPV,PI,attention,0.5827922077922079,1280
FPV,PI,fusion,0.926948051948052,3844
IDV,PI,mean,0.9278846153846154,1280
IDV,PI,max,0.9759615384615384,1280
IDV,PI,mean_max,0.9615384615384616,2560
IDV,PI,attention,0.5801282051282052,1280
IDV,PI,fusion,0.9615384615384616,3844
LPV,PI,mean,0.9008,1280
LPV,PI,max,0.976,1280
LPV,PI,mean_max,0.9456,2560
LPV,PI,attention,0.608,1280
LPV,PI,fusion,0.9728,3844
NFV,PI,mean,0.9182692307692306,1280
NFV,PI,max,0.9663461538461539,1280
NFV,PI,mean_max,0.9503205128205128,2560
NFV,PI,attention,0.5144230769230769,1280
NFV,PI,fusion,0.953525641025641,3844
SQV,PI,mean,0.9704433497536946,1280
SQV,PI,max,0.9802955665024631,1280
SQV,PI,mean_max,0.986863711001642,2560
SQV,PI,attention,0.6108374384236454,1280
SQV,PI,fusion,0.9885057471264368,3844
TPV,PI,mean,0.9136029411764706,1280
TPV,PI,max,0.9099264705882354,1280
TPV,PI,mean_max,0.926470588235294,2560
TPV,PI,attention,0.5165441176470589,1280
TPV,PI,fusion,0.931985294117647,3844
ABC,NRTI,mean,0.965,1280
ABC,NRTI,max,1.0,1280
ABC,NRTI,mean_max,0.9916666666666666,2560
ABC,NRTI,attention,0.6,1280
ABC,NRTI,fusion,0.9783333333333333,3844
AZT,NRTI,mean,1.0,1280
AZT,NRTI,max,1.0,1280
AZT,NRTI,mean_max,1.0,2560
AZT,NRTI,attention,0.5992063492063492,1280
AZT,NRTI,fusion,1.0,3844
D4T,NRTI,mean,0.9196428571428572,1280
D4T,NRTI,max,0.9791666666666667,1280
D4T,NRTI,mean_max,0.9613095238095238,2560
D4T,NRTI,attention,0.5922619047619049,1280
D4T,NRTI,fusion,0.9642857142857143,3844
DDI,NRTI,mean,0.5271739130434783,1280
DDI,NRTI,max,0.8695652173913043,1280
DDI,NRTI,mean_max,0.6739130434782609,2560
DDI,NRTI,attention,0.6086956521739131,1280
DDI,NRTI,fusion,0.6956521739130433,3844
3TC,NRTI,mean,0.9575320512820513,1280
3TC,NRTI,max,0.9735576923076923,1280
3TC,NRTI,mean_max,0.9639423076923076,2560
3TC,NRTI,attention,0.5440705128205128,1280
3TC,NRTI,fusion,0.9511217948717949,3844
TDF,NRTI,mean,0.9929078014184397,1280
TDF,NRTI,max,0.9716312056737589,1280
TDF,NRTI,mean_max,1.0,2560
TDF,NRTI,attention,0.5602836879432624,1280
TDF,NRTI,fusion,0.9574468085106383,3844
EFV,NNRTI,mean,0.8083735909822866,1280
EFV,NNRTI,max,0.8631239935587762,1280
EFV,NNRTI,mean_max,0.8438003220611916,2560
EFV,NNRTI,attention,0.4750402576489533,1280
EFV,NNRTI,fusion,0.8454106280193237,3844
ETR,NNRTI,mean,0.815,1280
ETR,NNRTI,max,0.815,1280
ETR,NNRTI,mean_max,0.83,2560
ETR,NNRTI,attention,0.5233333333333333,1280
ETR,NNRTI,fusion,0.7816666666666666,3844
NVP,NNRTI,mean,0.8373590982286635,1280
NVP,NNRTI,max,0.927536231884058,1280
NVP,NNRTI,mean_max,0.8776167471819645,2560
NVP,NNRTI,attention,0.5136876006441223,1280
NVP,NNRTI,fusion,0.8824476650563606,3844
RPV,NNRTI,mean,0.8315972222222222,1280
RPV,NNRTI,max,0.890625,1280
RPV,NNRTI,mean_max,0.8871527777777778,2560
RPV,NNRTI,attention,0.44791666666666663,1280
RPV,NNRTI,fusion,0.8472222222222222,3844
