drug,drug_class,modality,auc
ATV,PI,esm_only,0.9310897435897436
ATV,PI,mutation_only,0.969551282051282
ATV,PI,esm_mutation,0.9358974358974359
ATV,PI,esm_rare_weighted,0.5176282051282051
DRV,PI,esm_only,0.8860294117647058
DRV,PI,mutation_only,0.84375
DRV,PI,esm_mutation,0.8988970588235294
DRV,PI,esm_rare_weighted,0.5055147058823529
FPV,PI,esm_only,0.8555194805194807
FPV,PI,mutation_only,0.9237012987012987
FPV,PI,esm_mutation,0.8636363636363636
FPV,PI,esm_rare_weighted,0.5925324675324675
IDV,PI,esm_only,0.9278846153846154
IDV,PI,mutation_only,0.9791666666666667
IDV,PI,esm_mutation,0.9342948717948718
IDV,PI,esm_rare_weighted,0.5817307692307692
LPV,PI,esm_only,0.9008
LPV,PI,mutation_only,0.9743999999999999
LPV,PI,esm_mutation,0.9104
LPV,PI,esm_rare_weighted,0.6112
NFV,PI,esm_only,0.9182692307692306
NFV,PI,mutation_only,0.9759615384615384
NFV,PI,esm_mutation,0.9150641025641025
NFV,PI,esm_rare_weighted,0.6089743589743589
SQV,PI,esm_only,0.9704433497536946
SQV,PI,mutation_only,0.9688013136288999
SQV,PI,esm_mutation,0.9737274220032841
SQV,PI,esm_rare_weighted,0.632183908045977
TPV,PI,esm_only,0.9136029411764706
TPV,PI,mutation_only,0.96875
TPV,PI,esm_mutation,0.9264705882352942
TPV,PI,esm_rare_weighted,0.6084558823529411
ABC,NRTI,esm_only,0.965
ABC,NRTI,mutation_only,0.9883333333333333
ABC,NRTI,esm_mutation,0.965
ABC,NRTI,esm_rare_weighted,0.5433333333333333
AZT,NRTI,esm_only,1.0
AZT,NRTI,mutation_only,1.0
AZT,NRTI,esm_mutation,1.0
AZT,NRTI,esm_rare_weighted,0.48611111111111105
D4T,NRTI,esm_only,0.9196428571428572
D4T,NRTI,mutation_only,0.9940476190476191
D4T,NRTI,esm_mutation,0.9196428571428572
D4T,NRTI,esm_rare_weighted,0.4732142857142857
DDI,NRTI,esm_only,0.5271739130434783
DDI,NRTI,mutation_only,0.9021739130434783
DDI,NRTI,esm_mutation,0.5597826086956522
DDI,NRTI,esm_rare_weighted,0.4347826086956522
3TC,NRTI,esm_only,0.9575320512820513
3TC,NRTI,mutation_only,0.9463141025641026
3TC,NRTI,esm_mutation,0.9575320512820513
3TC,NRTI,esm_rare_weighted,0.5264423076923077
TDF,NRTI,esm_only,0.9929078014184397
TDF,NRTI,mutation_only,0.8368794326241135
TDF,NRTI,esm_mutation,0.9929078014184397
TDF,NRTI,esm_rare_weighted,0.4609929078014184
EFV,NNRTI,esm_only,0.8083735909822866
EFV,NNRTI,mutation_only,0.9049919484702093
EFV,NNRTI,esm_mutation,0.8164251207729468
EFV,NNRTI,esm_rare_weighted,0.537842190016103
ETR,NNRTI,esm_only,0.815
ETR,NNRTI,mutation_only,0.7266666666666667
ETR,NNRTI,esm_mutation,0.8066666666666668
ETR,NNRTI,esm_rare_weighted,0.5033333333333334
NVP,NNRTI,esm_only,0.8373590982286635
NVP,NNRTI,mutation_only,0.9516908212560387
NVP,NNRTI,esm_mutation,0.8486312399355878
NVP,NNRTI,esm_rare_weighted,0.5475040257648953
RPV,NNRTI,esm_only,0.8315972222222222
RPV,NNRTI,mutation_only,0.8194444444444444
RPV,NNRTI,esm_mutation,0.8524305555555556
RPV,NNRTI,esm_rare_weighted,0.5381944444444444
