drug,drug_class,auc_ovr,accuracy,macro_f1,weighted_f1,n_samples
ATV,PI,0.8689675292787468,0.76,0.6427015250544662,0.7488888888888888,50
DRV,PI,0.8334675735486101,0.8,0.6546864899806076,0.7922120232708468,50
FPV,PI,0.8085781402060471,0.74,0.5460577673692427,0.7130913348946134,50
IDV,PI,0.8971063136589813,0.78,0.6676587301587302,0.7686309523809524,50
LPV,PI,0.7939178202288667,0.74,0.5968660968660968,0.7264102564102564,50
NFV,PI,0.9030590740031258,0.82,0.7548752834467121,0.8223537414965986,50
SQV,PI,0.9098518985247134,0.82,0.6938923283009304,0.8029282067991745,50
TPV,PI,0.8963488618178012,0.76,0.6362433862433863,0.7455555555555555,50
ABC,NRTI,0.6352777777777778,0.88,0.5870098039215687,0.858970588235294,50
AZT,NRTI,1.0,1.0,1.0,1.0,50
D4T,NRTI,0.9196428571428572,0.94,0.8936924167257264,0.9414032600992204,50
DDI,NRTI,0.5271739130434783,0.94,0.7695852534562212,0.9360368663594469,50
3TC,NRTI,0.9170400128468593,0.8,0.7778759671654688,0.8187404265347001,50
TDF,NRTI,0.9929078014184397,0.98,0.8947368421052632,0.9781052631578947,50
EFV,NNRTI,0.8158564802609609,0.68,0.6127214170692432,0.6877777777777777,50
ETR,NNRTI,0.5952422723475356,0.58,0.42102524069737185,0.5864168618266978,50
RPV,NNRTI,0.5633892276422765,0.6,0.3657694962042788,0.5708488612836439,50
