drug,drug_class,baseline_ece,enhanced_ece,baseline_brier,enhanced_brier
ATV,PI,0.047940293136908105,0.09559862650170618,0.25102592170124327,0.24411314423993022
DRV,PI,0.039148389189331605,0.1911131883109057,0.252006308346541,0.2446274087076441
FPV,PI,0.004685802836167208,0.1252771939101972,0.24449865351478783,0.23217533376292424
IDV,PI,0.0011427670416205848,0.012533037349431224,0.24795057958892017,0.2404975713208531
LPV,PI,0.008629225691159648,0.04042192101478572,0.2439564380316569,0.24133465418050334
NFV,PI,0.005909940600395216,0.0736908078193664,0.2440427206988684,0.23828194468656838
SQV,PI,0.03750918112521946,0.0625992122777673,0.23754355008728942,0.23161530325125845
TPV,PI,0.24679618457268024,0.23545512762562984,0.22332952606900014,0.21985303278665314
ABC,NRTI,0.0032940771161895643,0.010627495873834691,0.2496085799115814,0.2490972555124663
AZT,NRTI,0.05636508215446862,0.07123346094574246,0.17798046105321577,0.1786515489839882
D4T,NRTI,0.09006387375447215,0.12645860457298708,0.14490664636852701,0.15264225784866606
DDI,NRTI,0.12300898043476806,0.11106420277940982,0.1587389909591479,0.15340580894088426
3TC,NRTI,0.005590949058532746,0.020805473327636714,0.227587456340272,0.2276107939779598
TDF,NRTI,0.18115849938334488,0.23554118377406422,0.090881889534333,0.11176022587243788
EFV,NNRTI,0.0250580913208901,0.016977439535425094,0.24725685571486175,0.2459764188549621
ETR,NNRTI,0.02650643766872468,0.02848193522483583,0.24043990360734596,0.2391534178594868
NVP,NNRTI,0.05176418357425266,0.02337347600195142,0.2519591838181879,0.2485445191970215
RPV,NNRTI,0.16844004277999586,0.17457375388879043,0.227325781709889,0.22931186543074994
