drug,drug_class,model,top_k,observed_overlap,expected_overlap,enrichment_ratio,p_value
ATV,PI,baseline,10,2,1.1111111111111112,1.7999999999999998,0.3068663737506887
ATV,PI,enhanced,10,3,1.1111111111111112,2.6999999999999997,0.07994762706192622
ATV,PI,baseline,20,4,2.2222222222222223,1.7999999999999998,0.1535457058387643
ATV,PI,enhanced,20,4,2.2222222222222223,1.7999999999999998,0.1535457058387643
ATV,PI,baseline,30,5,3.3333333333333335,1.5,0.2051455830469747
ATV,PI,enhanced,30,4,3.3333333333333335,1.2,0.4397116732375757
DRV,PI,baseline,10,3,0.8080808080808081,3.7125,0.032260992287589586
DRV,PI,enhanced,10,4,0.8080808080808081,4.95,0.0031669973169045724
DRV,PI,baseline,20,4,1.6161616161616161,2.475,0.05041638010493904
DRV,PI,enhanced,20,4,1.6161616161616161,2.475,0.05041638010493904
DRV,PI,baseline,30,5,2.4242424242424243,2.0625,0.05260358209663507
DRV,PI,enhanced,30,6,2.4242424242424243,2.475,0.008991305594025415
FPV,PI,baseline,10,2,0.9090909090909091,2.2,0.22480888757434844
FPV,PI,enhanced,10,3,0.9090909090909091,3.3000000000000003,0.045688989966367305
FPV,PI,baseline,20,3,1.8181818181818181,1.6500000000000001,0.26150922285250544
FPV,PI,enhanced,20,5,1.8181818181818181,2.75,0.015371669883175105
FPV,PI,baseline,30,4,2.727272727272727,1.4666666666666668,0.2700658948775047
FPV,PI,enhanced,30,6,2.727272727272727,2.2,0.0209727002375995
IDV,PI,baseline,10,2,0.7070707070707071,2.8285714285714287,0.14681859748466192
IDV,PI,enhanced,10,1,0.7070707070707071,1.4142857142857144,0.5371630300080192
IDV,PI,baseline,20,3,1.4141414141414141,2.1214285714285714,0.14421251628671902
IDV,PI,enhanced,20,1,1.4141414141414141,0.7071428571428572,0.8052832959725742
IDV,PI,baseline,30,3,2.121212121212121,1.4142857142857144,0.3575633574273831
IDV,PI,enhanced,30,2,2.121212121212121,0.942857142857143,0.6859534156166762
LPV,PI,baseline,10,1,1.0101010101010102,0.99,0.6736037421365679
LPV,PI,enhanced,10,3,1.0101010101010102,2.9699999999999998,0.06161075864263226
LPV,PI,baseline,20,2,2.0202020202020203,0.99,0.6433139783845434
LPV,PI,enhanced,20,7,2.0202020202020203,3.465,0.0004192601885558222
LPV,PI,baseline,30,3,3.0303030303030303,0.99,0.6355783074708048
LPV,PI,enhanced,30,8,3.0303030303030303,2.64,0.0009466549047685305
NFV,PI,baseline,10,1,0.5050505050505051,1.98,0.41966138960558
NFV,PI,enhanced,10,1,0.5050505050505051,1.98,0.41966138960558
NFV,PI,baseline,20,2,1.0101010101010102,1.98,0.2647479954180985
NFV,PI,enhanced,20,1,1.0101010101010102,0.99,0.6848919980363278
NFV,PI,baseline,30,3,1.5151515151515151,1.98,0.1616009917013715
NFV,PI,enhanced,30,3,1.5151515151515151,1.98,0.1616009917013715
SQV,PI,baseline,10,1,0.5050505050505051,1.98,0.41966138960558
SQV,PI,enhanced,10,2,0.5050505050505051,3.96,0.07828573643239171
SQV,PI,baseline,20,1,1.0101010101010102,0.99,0.6848919980363278
SQV,PI,enhanced,20,2,1.0101010101010102,1.98,0.2647479954180985
SQV,PI,baseline,30,3,1.5151515151515151,1.98,0.1616009917013715
SQV,PI,enhanced,30,2,1.5151515151515151,1.32,0.48025854400360246
TPV,PI,baseline,10,0,0.7070707070707071,0.0,1.0
TPV,PI,enhanced,10,0,0.7070707070707071,0.0,1.0
TPV,PI,baseline,20,0,1.4141414141414141,0.0,1.0
TPV,PI,enhanced,20,0,1.4141414141414141,0.0,1.0
TPV,PI,baseline,30,3,2.121212121212121,1.4142857142857144,0.3575633574273831
TPV,PI,enhanced,30,2,2.121212121212121,0.942857142857143,0.6859534156166762
ABC,NRTI,baseline,10,0,0.16666666666666666,0.0,1.0
ABC,NRTI,enhanced,10,1,0.16666666666666666,6.0,0.1574618460275376
ABC,NRTI,baseline,20,1,0.3333333333333333,3.0,0.29555258891862446
ABC,NRTI,enhanced,20,2,0.3333333333333333,6.0,0.03584847423424641
ABC,NRTI,baseline,30,2,0.5,4.0,0.0773388747480349
ABC,NRTI,enhanced,30,2,0.5,4.0,0.0773388747480349
AZT,NRTI,baseline,10,0,0.25,0.0,1.0
AZT,NRTI,enhanced,10,0,0.25,0.0,1.0
AZT,NRTI,baseline,20,0,0.5,0.0,1.0
AZT,NRTI,enhanced,20,1,0.5,2.0,0.41012373294952964
AZT,NRTI,baseline,30,0,0.75,0.0,1.0
AZT,NRTI,enhanced,30,3,0.75,4.0,0.027322489561741617
D4T,NRTI,baseline,10,0,0.3333333333333333,0.0,1.0
D4T,NRTI,enhanced,10,1,0.3333333333333333,3.0,0.2922469138338314
D4T,NRTI,baseline,20,0,0.6666666666666666,0.0,1.0
D4T,NRTI,enhanced,20,2,0.6666666666666666,3.0,0.13640175729975726
D4T,NRTI,baseline,30,1,1.0,1.0,0.6621993673344233
D4T,NRTI,enhanced,30,2,1.0,2.0,0.2628291612273374
DDI,NRTI,baseline,10,0,0.08333333333333333,0.0,1.0
DDI,NRTI,enhanced,10,0,0.08333333333333333,0.0,1.0
DDI,NRTI,baseline,20,1,0.16666666666666666,6.0,0.1600418410041841
DDI,NRTI,enhanced,20,0,0.16666666666666666,0.0,1.0
DDI,NRTI,baseline,30,1,0.25,4.0,0.2348326359832636
DDI,NRTI,enhanced,30,1,0.25,4.0,0.2348326359832636
3TC,NRTI,baseline,10,0,0.08333333333333333,0.0,1.0
3TC,NRTI,enhanced,10,1,0.08333333333333333,12.0,0.08176429567642955
3TC,NRTI,baseline,20,0,0.16666666666666666,0.0,1.0
3TC,NRTI,enhanced,20,1,0.16666666666666666,6.0,0.1600418410041841
3TC,NRTI,baseline,30,0,0.25,0.0,1.0
3TC,NRTI,enhanced,30,1,0.25,4.0,0.2348326359832636
TDF,NRTI,baseline,10,0,0.08333333333333333,0.0,1.0
TDF,NRTI,enhanced,10,2,0.08333333333333333,24.0,0.0015690376569037654
TDF,NRTI,baseline,20,0,0.16666666666666666,0.0,1.0
TDF,NRTI,enhanced,20,2,0.16666666666666666,12.0,0.006624825662482565
TDF,NRTI,baseline,30,1,0.25,4.0,0.2348326359832636
TDF,NRTI,enhanced,30,2,0.25,8.0,0.0151673640167364
EFV,NNRTI,baseline,10,1,0.375,2.6666666666666665,0.32275351237547645
EFV,NNRTI,enhanced,10,3,0.375,8.0,0.0038706370365753297
EFV,NNRTI,baseline,20,2,0.75,2.6666666666666665,0.1667398669628887
EFV,NNRTI,enhanced,20,7,0.75,9.333333333333334,3.0302305002260585e-07
EFV,NNRTI,baseline,30,2,1.125,1.7777777777777777,0.31275043699072297
EFV,NNRTI,enhanced,30,8,1.125,7.111111111111111,1.987958418414256e-07
ETR,NNRTI,baseline,10,1,0.3333333333333333,3.0,0.2922469138338314
ETR,NNRTI,enhanced,10,3,0.3333333333333333,9.0,0.002639429023683819
ETR,NNRTI,baseline,20,1,0.6666666666666666,1.5,0.50684604371273
ETR,NNRTI,enhanced,20,5,0.6666666666666666,7.5,0.00011577265073118537
ETR,NNRTI,baseline,30,2,1.0,2.0,0.2628291612273374
ETR,NNRTI,enhanced,30,7,1.0,7.0,1.786052436060121e-06
NVP,NNRTI,baseline,10,0,0.3333333333333333,0.0,1.0
NVP,NNRTI,enhanced,10,1,0.3333333333333333,3.0,0.2922469138338314
NVP,NNRTI,baseline,20,2,0.6666666666666666,3.0,0.13640175729975726
NVP,NNRTI,enhanced,20,4,0.6666666666666666,6.0,0.002012041875672618
NVP,NNRTI,baseline,30,2,1.0,2.0,0.2628291612273374
NVP,NNRTI,enhanced,30,5,1.0,5.0,0.0009490925329976621
RPV,NNRTI,baseline,10,3,0.2916666666666667,10.285714285714285,0.0016872948270477176
RPV,NNRTI,enhanced,10,4,0.2916666666666667,13.714285714285714,5.1253028993060284e-05
RPV,NNRTI,baseline,20,4,0.5833333333333334,6.857142857142857,0.001063907263201902
RPV,NNRTI,enhanced,20,5,0.5833333333333334,8.571428571428571,4.586410787620166e-05
RPV,NNRTI,baseline,30,4,0.875,4.571428571428571,0.005395633156041916
RPV,NNRTI,enhanced,30,5,0.875,5.714285714285714,0.0003905898460452437
