drug,drug_class,pearson_correlation,spearman_correlation,top_hotspots
ATV,PI,0.6625504808093765,0.4260881513625357,"10, 12, 54, 63, 72"
DRV,PI,0.7399554537856033,0.7126678363694513,"12, 33, 63, 64, 72"
FPV,PI,0.7425265969238779,0.5634134438640718,"12, 20, 54, 63, 72"
IDV,PI,0.532601302975141,0.6150024441928218,"20, 63, 64, 71, 90"
LPV,PI,0.648206677887808,0.6007549386629315,"12, 20, 24, 33, 63"
NFV,PI,0.6396053700235462,0.3009194909037039,"12, 20, 54, 63, 71"
SQV,PI,0.3002153793231285,0.39070036843560824,"54, 63, 82, 89, 90"
TPV,PI,0.32999196334596126,0.3474909728441118,"48, 49, 50, 51, 54"
ABC,NRTI,0.8514698588870496,0.27749168188816303,"178, 184, 211, 214, 219"
AZT,NRTI,0.4516680106893559,0.20950225841523762,"59, 65, 74, 103, 135"
D4T,NRTI,0.33401905084046946,0.1388540487220986,"72, 74, 106, 115, 151"
DDI,NRTI,0.11823933093372654,0.22526129670661774,"21, 35, 64, 65, 70"
3TC,NRTI,0.4255049202169476,0.38904305249985704,"35, 67, 173, 211, 219"
TDF,NRTI,0.08401453319197554,0.34942426669133575,"67, 69, 138, 177, 200"
EFV,NNRTI,0.8919554164329281,0.36749333237283216,"35, 74, 103, 135, 162"
ETR,NNRTI,0.8612975758812053,0.2277020702293484,"35, 135, 162, 179, 181"
NVP,NNRTI,0.6550115894763977,0.25189620635310517,"101, 103, 106, 162, 181"
RPV,NNRTI,0.7162809838608942,0.1836906610095046,"101, 106, 148, 162, 179"
