drug,drug_class,top_k,precision_at_k,jaccard_similarity,alignment_enrichment_score,residue_shap_drm_p_value,residue_shap_drm_enrichment,mutation_shap_drm_p_value,mutation_shap_drm_enrichment
ATV,PI,10,0.0,0.0,0.0,0.07994762706192622,2.6999999999999997,0.012712442857848416,3.5999999999999996
ATV,PI,20,0.25,0.14285714285714285,1.2374999999999998,0.04212640296034502,2.25,0.0010072763001419736,3.15
DRV,PI,10,0.2,0.1111111111111111,1.98,0.003166997316904573,4.95,0.003166997316904573,4.95
DRV,PI,20,0.25,0.14285714285714285,1.2374999999999998,0.007895465035865464,3.09375,0.05041638010493905,2.475
FPV,PI,10,0.3,0.17647058823529413,2.9699999999999998,0.6328042099036387,1.1,0.00036949780049255185,5.5
FPV,PI,20,0.45,0.2903225806451613,2.2275,0.5796798524625371,1.1,0.0019145011580177507,3.3000000000000003
IDV,PI,10,0.2,0.1111111111111111,1.98,0.14681859748466192,2.8285714285714287,0.0016695122816487264,5.6571428571428575
IDV,PI,20,0.3,0.17647058823529413,1.4849999999999999,0.02915592257040226,2.8285714285714287,0.003419579239120876,3.5357142857142856
LPV,PI,10,0.2,0.1111111111111111,1.98,0.6736037421365678,0.99,0.0007051977424619941,4.949999999999999
LPV,PI,20,0.3,0.17647058823529413,1.4849999999999999,0.02658597715413958,2.4749999999999996,0.004157362612210643,2.9699999999999998
NFV,PI,10,0.4,0.25,3.96,0.07828573643239171,3.96,0.006835018326375585,5.9399999999999995
NFV,PI,20,0.35,0.21212121212121213,1.7325,0.05467599410898381,2.9699999999999998,0.05467599410898381,2.9699999999999998
SQV,PI,10,0.1,0.05263157894736842,0.99,1.0,0.0,0.07828573643239171,3.96
SQV,PI,20,0.25,0.14285714285714285,1.2374999999999998,1.0,0.0,0.0055682535432167255,3.96
TPV,PI,10,0.1,0.05263157894736842,0.99,1.0,0.0,0.021350744173582712,4.242857142857143
TPV,PI,20,0.2,0.1111111111111111,0.99,0.8052832959725742,0.7071428571428572,0.02915592257040226,2.8285714285714287
ABC,NRTI,10,0.3,0.17647058823529413,7.199999999999999,0.1574618460275376,6.0,0.008996973080848248,12.0
ABC,NRTI,20,0.25,0.14285714285714285,3.0,0.0018963308007382813,9.0,0.03584847423424641,6.0
AZT,NRTI,10,0.1,0.05263157894736842,2.4,1.0,0.0,2.334088125939139e-07,20.0
AZT,NRTI,20,0.2,0.1111111111111111,2.4,1.0,0.0,1.5552562448238103e-07,12.0
D4T,NRTI,10,0.2,0.1111111111111111,4.8,1.0,0.0,0.002639429023683819,9.0
D4T,NRTI,20,0.1,0.05263157894736842,1.2,1.0,0.0,0.002012041875672618,6.0
DDI,NRTI,10,0.1,0.05263157894736842,2.4,1.0,0.0,0.08176429567642955,12.0
DDI,NRTI,20,0.1,0.05263157894736842,1.2,0.1600418410041841,6.0,0.1600418410041841,6.0
3TC,NRTI,10,0.5,0.3333333333333333,12.0,0.08176429567642955,12.0,0.08176429567642955,12.0
3TC,NRTI,20,0.4,0.25,4.8,0.1600418410041841,6.0,0.006624825662482565,12.0
TDF,NRTI,10,0.1,0.05263157894736842,2.4,1.0,0.0,1.0,0.0
TDF,NRTI,20,0.05,0.02564102564102564,0.6,1.0,0.0,0.1600418410041841,6.0
EFV,NNRTI,10,0.4,0.25,9.6,0.00017701299790079877,10.666666666666666,0.00017701299790079877,10.666666666666666
EFV,NNRTI,20,0.3,0.17647058823529413,3.5999999999999996,0.0002465498386581807,6.666666666666667,0.003424435505284169,5.333333333333333
ETR,NNRTI,10,0.3,0.17647058823529413,7.199999999999999,0.03834446139753762,6.0,0.00010040449932088261,12.0
ETR,NNRTI,20,0.2,0.1111111111111111,2.4,0.002012041875672618,6.0,0.00011577265073118537,7.5
NVP,NNRTI,10,0.4,0.25,9.6,2.1015586652379513e-06,15.0,0.002639429023683819,9.0
NVP,NNRTI,20,0.5,0.3333333333333333,6.0,7.080549229488394e-08,10.5,0.002012041875672618,6.0
RPV,NNRTI,10,0.2,0.1111111111111111,4.8,0.26050910727929466,3.4285714285714284,0.0016872948270477176,10.285714285714285
RPV,NNRTI,20,0.3,0.17647058823529413,3.5999999999999996,0.10762308318005787,3.4285714285714284,4.586410787620166e-05,8.571428571428571
