drug,drug_class,auc_ovr,accuracy,macro_f1,n_samples,class_0_count,class_1_count,class_2_count
ATV,PI,0.7971657270759037,0.79,0.6066798011070457,100,47,9,44
DRV,PI,0.7689619406462675,0.64,0.46767368872632026,100,65,17,18
FPV,PI,0.7985077336910577,0.67,0.5619047619047618,100,50,19,31
IDV,PI,0.883866795014336,0.81,0.7381125226860256,100,45,16,39
LPV,PI,0.8065993265993265,0.75,0.5614478114478114,100,45,10,45
NFV,PI,0.9189754344208367,0.85,0.7660455486542443,100,42,12,46
SQV,PI,0.8831581699346405,0.81,0.7182484887538739,100,50,15,35
TPV,PI,0.7969774431722962,0.67,0.4937789069116018,100,68,22,10
ABC,NRTI,0.7260837971552258,0.86,0.6659078113142884,100,51,45,4
AZT,NRTI,0.9778142479501176,0.95,0.867201890661384,100,70,8,22
D4T,NRTI,0.9180229053646776,0.85,0.7778106947118946,100,79,21,0
DDI,NRTI,0.8247767857142858,0.86,0.7628726287262872,100,84,16,0
3TC,NRTI,0.8753012522895821,0.78,0.7497268986157876,100,40,19,41
TDF,NRTI,0.9213483146067416,0.95,0.8771800540407763,100,89,11,0
EFV,NNRTI,0.8740572337030663,0.76,0.6748155600268276,100,48,14,38
ETR,NNRTI,0.6748471502047821,0.55,0.4616770131476014,100,60,21,19
NVP,NNRTI,0.9373174729753678,0.81,0.5643821391484943,100,40,5,55
RPV,NNRTI,0.7260002094616325,0.64,0.5489395784646106,100,62,21,17
