SeqID,subtype,distance_from_B,n_mutations,drug_class
12862,B_divergent,0.050505050505050504,5,PI
13259,B_divergent,0.050505050505050504,5,PI
12863,B_divergent,0.050505050505050504,5,PI
13257,B,0.04040404040404041,4,PI
13258,B,0.04040404040404041,4,PI
13261,B,0.020202020202020204,2,PI
45117,B,0.010101010101010102,1,PI
54393,B_divergent,0.050505050505050504,5,PI
54394,B,0.020202020202020204,2,PI
54396,B,0.030303030303030304,3,PI
54450,B,0.030303030303030304,3,PI
45118,B,0.010101010101010102,1,PI
45121,B,0.030303030303030304,3,PI
45123,B,0.010101010101010102,1,PI
60084,B_divergent,0.08080808080808081,8,PI
54399,B_divergent,0.06060606060606061,6,PI
54400,B_divergent,0.0707070707070707,7,PI
54411,B,0.020202020202020204,2,PI
54447,B,0.010101010101010102,1,PI
54449,B,0.030303030303030304,3,PI
54451,B,0.04040404040404041,4,PI
12861,B,0.030303030303030304,3,PI
12864,B_divergent,0.06060606060606061,6,PI
12865,B_divergent,0.06060606060606061,6,PI
12866,B_divergent,0.0707070707070707,7,PI
13255,B,0.020202020202020204,2,PI
13260,B,0.020202020202020204,2,PI
12867,B,0.030303030303030304,3,PI
13256,B,0.030303030303030304,3,PI
13262,B,0.030303030303030304,3,PI
45119,B,0.010101010101010102,1,PI
45120,B,0.020202020202020204,2,PI
60082,B,0.020202020202020204,2,PI
54392,B,0.020202020202020204,2,PI
54407,B,0.010101010101010102,1,PI
54409,B,0.030303030303030304,3,PI
54412,B,0.030303030303030304,3,PI
54453,B,0.010101010101010102,1,PI
54454,B,0.020202020202020204,2,PI
45113,B,0.0,0,PI
45114,B,0.010101010101010102,1,PI
45115,B,0.010101010101010102,1,PI
45116,B,0.020202020202020204,2,PI
45122,B,0.010101010101010102,1,PI
45124,B,0.020202020202020204,2,PI
54395,B,0.030303030303030304,3,PI
54397,B,0.030303030303030304,3,PI
54398,B_divergent,0.050505050505050504,5,PI
54401,B_divergent,0.08080808080808081,8,PI
54402,B_divergent,0.08080808080808081,8,PI
54408,B,0.020202020202020204,2,PI
54410,B,0.04040404040404041,4,PI
54448,B,0.020202020202020204,2,PI
54452,B,0.010101010101010102,1,PI
112924,B_divergent,0.09090909090909091,9,PI
206425,B_divergent,0.050505050505050504,5,PI
4482,non-B,0.10101010101010101,10,PI
10560,B,0.04040404040404041,4,PI
44088,B,0.030303030303030304,3,PI
14938,non-B,0.1111111111111111,11,PI
52909,non-B,0.1414141414141414,14,PI
614792,non-B,0.13131313131313133,13,PI
97968,non-B,0.1111111111111111,11,PI
54186,B_divergent,0.0707070707070707,7,PI
198531,B_divergent,0.050505050505050504,5,PI
216627,non-B,0.12121212121212122,12,PI
112397,B_divergent,0.050505050505050504,5,PI
51575,non-B,0.15151515151515152,15,PI
615396,non-B,0.1414141414141414,14,PI
81793,B_divergent,0.08080808080808081,8,PI
81809,non-B,0.1717171717171717,17,PI
122880,non-B,0.13131313131313133,13,PI
187127,B,0.04040404040404041,4,PI
614664,non-B,0.20202020202020202,20,PI
615290,non-B,0.10101010101010101,10,PI
68347,B_divergent,0.09090909090909091,9,PI
68070,non-B,0.1414141414141414,14,PI
68071,non-B,0.15151515151515152,15,PI
81837,non-B,0.1717171717171717,17,PI
614746,B_divergent,0.0707070707070707,7,PI
50511,B_divergent,0.050505050505050504,5,PI
235719,B_divergent,0.050505050505050504,5,PI
51079,B_divergent,0.06060606060606061,6,PI
614646,B_divergent,0.050505050505050504,5,PI
53503,non-B,0.13131313131313133,13,PI
29043,B_divergent,0.09090909090909091,9,PI
66669,B_divergent,0.08080808080808081,8,PI
614676,non-B,0.13131313131313133,13,PI
259187,B_divergent,0.0707070707070707,7,PI
615048,B_divergent,0.050505050505050504,5,PI
27940,non-B,0.18181818181818182,18,PI
117081,non-B,0.1111111111111111,11,PI
98599,B,0.04040404040404041,4,PI
614616,non-B,0.16161616161616163,16,PI
89032,non-B,0.16161616161616163,16,PI
76230,B,0.04040404040404041,4,PI
27472,non-B,0.1717171717171717,17,PI
27471,non-B,0.1414141414141414,14,PI
27473,non-B,0.18181818181818182,18,PI
614588,B,0.0,0,PI
64887,B,0.04040404040404041,4,PI
52897,non-B,0.12121212121212122,12,PI
90036,non-B,0.20202020202020202,20,PI
68135,B,0.030303030303030304,3,PI
54171,B_divergent,0.050505050505050504,5,PI
615014,non-B,0.1414141414141414,14,PI
54184,B_divergent,0.0707070707070707,7,PI
61095,B_divergent,0.050505050505050504,5,PI
216631,B_divergent,0.050505050505050504,5,PI
145699,B_divergent,0.06060606060606061,6,PI
75030,B,0.0,0,PI
112972,non-B,0.12121212121212122,12,PI
112857,non-B,0.12121212121212122,12,PI
109456,B_divergent,0.06060606060606061,6,PI
59258,B_divergent,0.08080808080808081,8,PI
147556,non-B,0.18181818181818182,18,PI
45073,non-B,0.1111111111111111,11,PI
103099,non-B,0.10101010101010101,10,PI
615454,non-B,0.20202020202020202,20,PI
56696,B_divergent,0.0707070707070707,7,PI
38786,B,0.04040404040404041,4,PI
148071,B,0.030303030303030304,3,PI
257939,non-B,0.21212121212121213,21,PI
615226,non-B,0.15151515151515152,15,PI
73558,B_divergent,0.09090909090909091,9,PI
55835,B_divergent,0.08080808080808081,8,PI
68346,non-B,0.10101010101010101,10,PI
81887,non-B,0.12121212121212122,12,PI
38782,B_divergent,0.09090909090909091,9,PI
113062,non-B,0.16161616161616163,16,PI
148113,B,0.0,0,PI
235699,B,0.04040404040404041,4,PI
54181,B_divergent,0.050505050505050504,5,PI
38900,non-B,0.10101010101010101,10,PI
614916,non-B,0.1111111111111111,11,PI
54174,B_divergent,0.06060606060606061,6,PI
61115,non-B,0.20202020202020202,20,PI
45100,non-B,0.13131313131313133,13,PI
45099,non-B,0.10101010101010101,10,PI
107989,non-B,0.1111111111111111,11,PI
614480,non-B,0.16161616161616163,16,PI
112584,B_divergent,0.08080808080808081,8,PI
197094,non-B,0.1111111111111111,11,PI
614542,non-B,0.16161616161616163,16,PI
117139,non-B,0.1111111111111111,11,PI
46695,B_divergent,0.06060606060606061,6,PI
81937,B_divergent,0.09090909090909091,9,PI
259241,B,0.030303030303030304,3,PI
107979,B,0.030303030303030304,3,PI
109402,B,0.020202020202020204,2,PI
615132,non-B,0.20202020202020202,20,PI
615100,non-B,0.1717171717171717,17,PI
65215,B,0.020202020202020204,2,PI
187125,B_divergent,0.050505050505050504,5,PI
198533,B,0.04040404040404041,4,PI
112399,B_divergent,0.06060606060606061,6,PI
615184,non-B,0.16161616161616163,16,PI
235681,non-B,0.1111111111111111,11,PI
14891,B_divergent,0.06060606060606061,6,PI
109458,B_divergent,0.050505050505050504,5,PI
112409,non-B,0.1717171717171717,17,PI
59260,B_divergent,0.09090909090909091,9,PI
615262,non-B,0.12121212121212122,12,PI
148069,B_divergent,0.050505050505050504,5,PI
16329,non-B,0.12121212121212122,12,PI
66671,B_divergent,0.0707070707070707,7,PI
